lang,task,test_accuracy,test_duration
br,read,0.663,0 days 00:00:57.265170
de,write,0.55,0 days 00:00:57.400664
de,read,0.604,0 days 00:00:57.163319
en,write,0.216,0 days 00:00:56.653539
en,read,0.243,0 days 00:00:56.760618
eo,write,0.98,0 days 00:00:56.847423
eo,read,0.984,0 days 00:00:56.842433
es,write,0.592,0 days 00:00:56.828840
es,read,0.825,0 days 00:00:56.849302
fi,write,0.943,0 days 00:00:56.920418
fi,read,0.842,0 days 00:00:56.962732
fr,write,0.213,0 days 00:00:56.887204
fr,read,0.693,0 days 00:00:56.971232
fro,write,0.981,0 days 00:00:56.928207
fro,read,0.866,0 days 00:00:56.952294
it,write,0.92,0 days 00:00:56.830218
it,read,0.623,0 days 00:00:56.860996
ko,write,0.735,0 days 00:00:56.864462
ko,read,0.916,0 days 00:00:56.781715
nl,write,0.56,0 days 00:00:56.731173
nl,read,0.457,0 days 00:00:56.825133
pt,write,0.598,0 days 00:00:56.702174
pt,read,0.68,0 days 00:00:56.812468
ru,write,0.322,0 days 00:00:56.950064
ru,read,0.921,0 days 00:00:56.979618
sh,write,0.975,0 days 00:00:56.863169
sh,read,0.415,0 days 00:00:56.921963
tr,write,0.91,0 days 00:00:56.938986
tr,read,0.845,0 days 00:00:56.931981
zh,write,0.023,0 days 00:00:57.025819
zh,read,0.434,0 days 00:00:56.241875
ent,write,0.988,0 days 00:00:57.134555
ent,read,0.992,0 days 00:00:57.102356
eno,write,0.0,0 days 00:00:56.995362
eno,read,0.0,0 days 00:00:57.004605
ar,write,0.752,0 days 00:00:56.865749
ar,read,0.961,0 days 00:00:56.898901
br,write,0.697,0 days 00:00:56.719960
br,read,0.635,0 days 00:00:56.802896
de,write,0.521,0 days 00:00:56.940230
de,read,0.562,0 days 00:00:57.049497
en,write,0.264,0 days 00:00:56.801890
en,read,0.262,0 days 00:00:56.752390
eo,write,0.982,0 days 00:00:56.876600
eo,read,0.993,0 days 00:00:56.877230
es,write,0.605,0 days 00:00:56.865381
es,read,0.809,0 days 00:00:56.931299
fi,write,0.928,0 days 00:00:56.968284
fi,read,0.855,0 days 00:00:56.987151
fr,write,0.224,0 days 00:00:56.882409
fr,read,0.679,0 days 00:00:57.062332
fro,write,0.968,0 days 00:00:56.974506
fro,read,0.867,0 days 00:00:56.886100
it,write,0.922,0 days 00:00:56.881845
it,read,0.633,0 days 00:00:56.887639
ko,write,0.728,0 days 00:00:56.909558
ko,read,0.91,0 days 00:00:56.827154
nl,write,0.554,0 days 00:00:56.772770
nl,read,0.473,0 days 00:00:56.893238
pt,write,0.597,0 days 00:00:56.794007
pt,read,0.663,0 days 00:00:56.827471
ru,write,0.285,0 days 00:00:56.973988
ru,read,0.898,0 days 00:00:56.958277
sh,write,0.98,0 days 00:00:56.895813
sh,read,0.416,0 days 00:00:56.864301
tr,write,0.921,0 days 00:00:56.956489
tr,read,0.837,0 days 00:00:56.895357
zh,write,0.024,0 days 00:00:56.994402
zh,read,0.394,0 days 00:00:56.226477
